field_a,field_b,r,group_a,group_b,same_group,implication
Term_Structure_State,Vol_Regime,-0.386,F: Term Structure,A: Volatility Level,FALSE,Weak-moderate inverse; backwardation tends toward high vol
Day_of_Week,Month,-0.016,E: Calendar,E: Calendar,TRUE,Independent; no structural relationship
Day_of_Week,Is_Opex,0.313,E: Calendar,E: Calendar,TRUE,Moderate; OpEx typically falls on Friday
Month,Is_Opex,0.001,E: Calendar,E: Calendar,TRUE,Independent; OpEx occurs in all months
Vol_Regime,VIX_IVR,0.646,A: Volatility Level,B: Relative Volatility,FALSE,Moderate; regime buckets partially capture IVR ranking
Vol_Regime,VIX_IVP,0.570,A: Volatility Level,B: Relative Volatility,FALSE,Moderate; regime buckets partially capture IVP ranking
Term_Structure_State,VIX_IVR,-0.549,F: Term Structure,B: Relative Volatility,FALSE,Moderate inverse; backwardation coincides with elevated IVR
Term_Structure_State,VIX_IVP,-0.472,F: Term Structure,B: Relative Volatility,FALSE,Moderate inverse; backwardation coincides with elevated IVP
VIX9D_Close,VIX_Close,0.971,A: Volatility Level,A: Volatility Level,TRUE,Near-identical; VIX9D tracks VIX closely
VIX9D_Close,VIX9D_IVR,0.735,A: Volatility Level,B: Relative Volatility,FALSE,High; VIX9D level drives its own IVR
VIX9D_Close,VIX9D_IVP,0.631,A: Volatility Level,B: Relative Volatility,FALSE,Moderate; VIX9D level partially drives its own IVP
VIX9D_IVR,VIX9D_IVP,0.744,B: Relative Volatility,B: Relative Volatility,TRUE,Highly correlated; both rank VIX9D within its own history
VIX3M_Close,VIX_Close,0.977,A: Volatility Level,A: Volatility Level,TRUE,Near-identical; VIX3M tracks VIX closely
VIX3M_Close,VIX3M_IVR,0.583,A: Volatility Level,B: Relative Volatility,FALSE,Moderate; VIX3M level partially drives its own IVR
VIX3M_Close,VIX3M_IVP,0.490,A: Volatility Level,B: Relative Volatility,FALSE,Moderate; VIX3M level partially drives its own IVP
VIX3M_IVR,VIX3M_IVP,0.874,B: Relative Volatility,B: Relative Volatility,TRUE,Near-redundant; both rank VIX3M within its own history
VIX9D_Close,VIX3M_Close,0.904,A: Volatility Level,A: Volatility Level,TRUE,Near-redundant; all VIX tenors move together
Prior_Range_vs_ATR,ATR_Pct,0.037,D: Daily Price Action,A: Volatility Level,FALSE,Independent; normalized range removes vol level
Prior_Range_vs_ATR,Intraday_Range_Pct,0.206,D: Daily Price Action,A: Volatility Level,FALSE,Weak; normalized range partially reflects raw range
Intraday_Return_Pct,Prev_Return_Pct,-0.106,D: Daily Price Action,D: Daily Price Action,TRUE,Weak inverse; minor mean-reversion signal
Intraday_Return_Pct,Close_Position_In_Range,0.710,D: Daily Price Action,C: Momentum / Trend,FALSE,High; positive return -> close near high of range
Gap_Filled,VIX_Close,-0.023,D: Daily Price Action,A: Volatility Level,FALSE,Independent; gap fill is a binary microstructure event
Gap_Filled,Gap_Pct,0.008,D: Daily Price Action,D: Daily Price Action,TRUE,Independent; gap fill not driven by gap size
Gap_Filled,Intraday_Range_Pct,-0.016,D: Daily Price Action,A: Volatility Level,FALSE,Independent; gap fill unrelated to range
