Section,Index,Filter,OO Filter,OO Parameters,OO Notes,TB Filter,TB Field,TB Table,TB Notes,Entry Group,Implication
Market Conditions — VIX,11,VIX9D metrics,Not available,Not available,Not available,TRUE,VIX9D_Close / VIX9D_IVR / VIX9D_IVP,market.daily (VIX9D),Short-term VIX metrics; prior day lag,A: Volatility Level,"VIX9D_Close r = 0.97 with VIX. IVR/IVP components overlap Group B."
Market Conditions — VIX,12,VIX3M opening level,Not available,Not available,Not available,TRUE,VIX3M_Open,market.daily (VIX3M),3-month VIX open; same day,A: Volatility Level,"VIX3M r = 0.98 with VIX. Redundant with VIX level."
Market Conditions — VIX,13,VIX3M metrics,Not available,Not available,Not available,TRUE,VIX3M_Close / VIX3M_IVR / VIX3M_IVP,market.daily (VIX3M),3-month VIX metrics; prior day lag,A: Volatility Level,"VIX3M_Close r = 0.98 with VIX. IVR/IVP components overlap Group B."
Market Conditions — Underlying,14,Underlying gap or move from open,TRUE,Points or % from open,Gap / intraday move filter,TRUE,Gap_Pct,market.daily (SPX),Open-known same day,D: Daily Price Action,"Largely independent (r = -0.08 with Prev_Return). Unique same-day signal."
Market Conditions — Underlying,15,Opening range breakout,TRUE,Range period + direction,Enter only when price breaks opening range,TRUE,ORB High / Low / Range,market.intraday (SPX),Computed from intraday bars (e.g. 9:30-9:45),D: Daily Price Action,"Intraday price structure. Independent of daily market fields."
Market Conditions — Underlying,16,Opening range non-breakout,TRUE,Range period,Enter only when price stays within opening range,TRUE,ORB High / Low / Range,market.intraday (SPX),Computed from intraday bars,D: Daily Price Action,"Inverse of ORB breakout. Independent of daily market fields."
Market Conditions — Underlying,17,RSI momentum filter,TRUE,Min/max RSI (0-100),14-day rolling minute RSI,TRUE,RSI_14,market.daily (SPX),Prior day lag,C: Momentum / Trend,"r = 0.83 with EMA21, 0.80 with SMA50. Central momentum proxy; pick RSI or MA position."
Market Conditions — Underlying,18,Price vs simple moving average,TRUE,Period length + threshold,Price vs SMA,TRUE,Price_vs_SMA50_Pct,market.daily (SPX),Prior day lag,C: Momentum / Trend,"r = 0.89 with EMA21, 0.86 with Ret20D. Near-redundant with EMA21."
Market Conditions — Underlying,19,Price vs exponential moving average,TRUE,Period length + threshold,Minute-based EMA,TRUE,Price_vs_EMA21_Pct,market.daily (SPX),Prior day lag,C: Momentum / Trend,"r = 0.89 with SMA50, 0.83 with RSI. Near-redundant with SMA50."
Market Conditions — Underlying,20,MACD signal,TRUE,Signal crossover or value threshold,Momentum / trend,FALSE,Not available,Not available,Not available,C: Momentum / Trend,"OO-only. Likely redundant with RSI / MA position (all momentum)."
Market Conditions — Underlying,21,ATR as % of price,Not available,Not available,Not available,TRUE,ATR_Pct,market.daily (SPX),Prior day lag,A: Volatility Level,"r = 0.94 with VIX_Close, 0.96 with RV20. Near-redundant with VIX level."
Market Conditions — Underlying,22,5-day realized volatility,Not available,Not available,Not available,TRUE,Realized_Vol_5D,market.daily (SPX),Prior day lag,A: Volatility Level,"r = 0.82 with VIX, 0.84 with ATR. Shorter lookback captures recent vol bursts."
Market Conditions — Underlying,23,20-day realized volatility,Not available,Not available,Not available,TRUE,Realized_Vol_20D,market.daily (SPX),Prior day lag,A: Volatility Level,"r = 0.88 with VIX, 0.96 with ATR. Near-redundant with ATR and VIX."
Market Conditions — Underlying,24,5-day trailing return,Not available,Not available,Not available,TRUE,Return_5D,market.daily (SPX),Prior day lag,C: Momentum / Trend,"r = 0.76 with EMA21, 0.59 with RSI. Short-term directional signal."
Market Conditions — Underlying,25,20-day trailing return,Not available,Not available,Not available,TRUE,Return_20D,market.daily (SPX),Prior day lag,C: Momentum / Trend,"r = 0.86 with SMA50, 0.74 with RSI. Medium-term directional signal."
Market Conditions — Underlying,26,Prior day intraday range,Not available,Not available,Not available,TRUE,Intraday_Range_Pct,market.daily (SPX),Prior day lag,A: Volatility Level,"r = 0.79 with VIX, 0.77 with ATR. Redundant with VIX / ATR cluster."
Market Conditions — Underlying,27,Prior day intraday return,Not available,Not available,Not available,TRUE,Intraday_Return_Pct,market.daily (SPX),Prior day lag,D: Daily Price Action,"r = 0.71 with Close_In_Range. Captures daily directional outcome."
Market Conditions — Underlying,28,Close position in day's range,Not available,Not available,Not available,TRUE,Close_Position_In_Range,market.daily (SPX),Prior day lag,C: Momentum / Trend,"r = 0.71 with Intra_Return, 0.33 with RSI. Blends momentum and price action."
Market Conditions — Underlying,29,Gap fill indicator,Not available,Not available,Not available,TRUE,Gap_Filled,market.daily (SPX),Prior day lag,D: Daily Price Action,"Near-zero correlation with all fields (r < 0.03). Fully independent binary signal."
Market Conditions — Underlying,30,Consecutive up/down days,Not available,Not available,Not available,TRUE,Consecutive_Days,market.daily (SPX),Prior day lag,C: Momentum / Trend,"r = 0.46 with Ret5D, 0.43 with RSI. Streak-based momentum proxy."
Market Conditions — Underlying,31,Prior day return,Not available,Not available,Not available,TRUE,Prev_Return_Pct,market.daily (SPX),Open-known same day,D: Daily Price Action,"r = -0.08 with Gap_Pct. Largely independent single-day signal."
Market Conditions — Underlying,32,Prior range relative to ATR,Not available,Not available,Not available,TRUE,Prior_Range_vs_ATR,market.daily (SPX),Open-known same day,D: Daily Price Action,"r = 0.04 with ATR, 0.21 with Intra_Range. Normalized range; largely independent."
Market Conditions — Calendar,33,Day of week,Not available,Not available,Not available,TRUE,Day_of_Week,market.daily (SPX),1=Mon ... 5=Fri; static,E: Calendar,"Independent of all market fields (r < 0.02). Structural calendar effect."
Market Conditions — Calendar,34,Calendar month,Not available,Not available,Not available,TRUE,Month,market.daily (SPX),Static,E: Calendar,"Independent of all market fields (r < 0.03). Seasonal structure."
Market Conditions — Calendar,35,Options expiration flag,Not available,Not available,Not available,TRUE,Is_Opex,market.daily (SPX),OpEx week/day flag; static,E: Calendar,"r = 0.31 with DoW (OpEx = Fri). Structural expiration cycle effect."
Premium & Structure,36,Short-to-long premium ratio,TRUE,Min ratio threshold,SUM(STO prices) / SUM(BTO prices),TRUE,Derived from legs regex,trades.trade_data,Computed: P STO + C STO / P BTO + C BTO,H: Premium & Structure,"Trade-specific; not market-condition-based. Independent by definition."
Premium & Structure,37,Net credit per contract,TRUE,Min/max net credit,Net premium collected per contract,TRUE,premium / num_contracts,trades.trade_data,Per-contract credit normalization,H: Premium & Structure,"Trade-specific. Correlated with VIX (higher vol → richer premium) but measured at trade level."
Premium & Structure,38,Margin requirement,Not available,Not available,Not available,TRUE,margin_req,trades.trade_data,Per-trade margin requirement,H: Premium & Structure,"Trade-specific. Driven by wing width and underlying price, not market regime."
